name,sma,ecc,inc,lan,aop,ma,epoch,radius,mass
sun,0,0,0,0,0,0,1759132800000,695700,1.98841e30
mercury,0.3963303568552592,0.195146800949858,6.998467562564008,48.54860929512073,29.90600153654426,152.5050447087461,1759132800000,2440.53,3.30103e23
venus,0.7193075628881022,0.00961301922234237,3.395190616929889,76.61547876637461,346.1809908562251,70.73681720932568,1759132800000,6051.8,4.86731e24
earth,0.9884778595229721,0.0224665980676975,0.009361834796841753,242.5714748746163,238.093817256785,252.1662094875961,1759132800000,6378.1366,5.97217e24
mars,1.5361808446362526,0.09327957122076079,1.846149199958463,49.67412197237504,284.0761205312491,271.5705002287118,1759132800000,3396.19,6.41691e23
jupiter,5.196872446649367,0.04902661375752699,1.303775355536004,100.4997221050677,273.2754318441118,82.23624259872942,1759132800000,71492,1.898125e27
saturn,9.537827257799261,0.05454059430016105,2.488808873212828,113.644119191983,338.5479951631343,272.6176161051636,1759132800000,60268,5.68317e26
uranus,19.188180030037476,0.04726029813008705,0.7726304037113545,73.99333322935934,97.11194454391001,252.4895802486794,1759132800000,25559,8.68099e25
neptune,30.06973093117018,0.008593397795593868,1.775164447238822,131.9635756395051,272.6698679970442,316.5089329576374,1759132800000,24764,1.024092e26
ceres,2.75335009,8.256884979564472e-2,1.059670287549551e1,8.022742118128347e1,7.411014758807298e1,2.204689200573771e2,1759132800000,482.1,9.38416e20
pluto,39.58862938517124,0.2518378778576892,17.14771140999114,110.2923840543057,113.7090015158565,38.68366347318184,2457588.5,1188.3,1.30246e22
sedna,549.5396510704963,0.8615456732,11.9261038261,144.4704621550,310.9902088880,358.6088086366,1759708800000,453,2.5e21
atlas,-0.26391591751781,6.139587836355706,175.1131015287974,322.1568699043938,128.0099421020839,-723.1822479798254,2460878.5,5,2.6e14
